player,position
Henrikh Mkhitaryan,MID
Idrissa Gueye,MID
Daniel Agyei,Unknown
Glen Johnson,Unknown
Seamus Coleman,DEF
Pape Souar,Unknown
Wilfried Bony,FWD
Patrick van Aanholt,DEF
David Silva,MID
Eric Bailly,DEF
Wilfried Zaha,MID
Shay Given,Unknown
Aiden O'Neill,Unknown
Thomas Robson,Unknown
Ben Hinchcliffe,Unknown
Eldin Jakupovic,Unknown
Hiram Boateng,Unknown
Divock Origi,FWD
Daniel Batty,Unknown
Juan Carlos Paredes,Unknown
Willy Caballero,GK
Philipp Wollscheid,Unknown
Matthew James,Unknown
Ander Herrera,MID
Craig Gardner,Unknown
Danny Ings,FWD
Miguel Britos,Unknown
Mile Jedinak,Unknown
Andy King,Unknown
James McClean,Unknown
Ryan Shawcross,Unknown
Tom Huddlestone,Unknown
Phil Jagielka,DEF
Danny Rose,DEF
Kevin Stewart,Unknown
Cameron Borthwick-Jackson,DEF
Cesc Fbregas,MID
Daniel Amartey,DEF
Saido Berahino,Unknown
Tyrone Mings,DEF
Michael Carrick,MID
Jeffrey Schlupp,MID
Joshua Harrop,Unknown
Alex Oxlade-Chamberlain,MID
Nacer Chadli,Unknown
Reece Burke,Unknown
Christian Benteke,FWD
Jos Holebas,Unknown
Cdric Soares,Unknown
Jordan Pickford,GK
Ashley Young,DEF
Ben Watson,Unknown
Ben Hamer,Unknown
Shinji Okazaki,FWD
Adam Forshaw,MID
Cameron Brannagan,Unknown
Anthony Martial,FWD
Bernardo Espinosa Ziga,Unknown
Georges-Kvin Nkoudou,Unknown
Marc Muniesa,Unknown
Lee Cattermole,Unknown
Paul Robinson,Unknown
Thomas Edwards,Unknown
Alex Iwobi,MID
Olivier Giroud,FWD
Jordan Rhodes,Unknown
Mame Biram Diouf,Unknown
Kieran Gibbs,DEF
Leighton Baines,Unknown
Marko Arnautovic,Unknown
Harry Winks,MID
Callum McManaman,Unknown
Noor Husin,Unknown
Joel Campbell,Unknown
Emilio Nsue Lopez,Unknown
Rekeem Harper,MID
Ahmed Elmohamady,Unknown
Jordi Amat,Unknown
James Tomkins,DEF
Luis Hernndez,Unknown
Luka Milivojevic,MID
Per Mertesacker,DEF
James Collins,Unknown
Zlatan Ibrahimovic,FWD
Stuart Taylor,Unknown
Marco Van Ginkel,Unknown
Nathan Redmond,MID
Sam McQueen,Unknown
Jonjoe Kenny,DEF
Jack Cork,Unknown
Gareth McAuley,Unknown
Diafra Sakho,Unknown
Carl Jenkinson,Unknown
Michael Dawson,Unknown
N'Golo Kant,MID
Jay Fulton,Unknown
Rhian Brewster,FWD
Marcos Rojo,DEF
David de Gea,GK
Danny Simpson,MID
Pierre-Emile Hjbjerg,MID
Jonathan Leko,MID
Craig Dawson,Unknown
Aaron Lennon,Unknown
Chris Brunt,Unknown
Jonas Olsson,Unknown
Neil Taylor,Unknown
Mike van der Hoorn,Unknown
Angus Gunn,GK
Heurelho Gomes,Unknown
Tom Heaton,Unknown
Fabio Borini,Unknown
John O'Shea,MID
Ashley Fletcher,Unknown
Kelechi Iheanacho,FWD
Bakary Sako,MID
Oviemuno Ejaria,Unknown
Connor Randall,Unknown
Joel Ward,DEF
Nampalys Mendy,MID
Bamidele Alli,MID
Ryan Fraser,MID
Abdul Rahman Baba,Unknown
Harry Wilson,MID
Gastn Ramrez,Unknown
Ademola Lookman,Unknown
M'Baye Niang,Unknown
Laurent Koscielny,Unknown
Romelu Lukaku,FWD
Almen Abdi,Unknown
Antonio Barragn,Unknown
Mathieu Debuchy,Unknown
Damian Emiliano Martinez,Unknown
Josh Cullen,Unknown
Lamine Kon,Unknown
Modou Barrow,Unknown
John Obi Mikel,Unknown
Dimitrios Konstantopoulos,Unknown
Papy Djilobodji,Unknown
Matthew Willock,Unknown
Jakob Haugaard,Unknown
John Stones,DEF
Curtis Davies,Unknown
Moses Odubajo,Unknown
Mario Balotelli,FWD
Xherdan Shaqiri,MID
Jack Butland,Unknown
Daley Blind,FWD
Nathaniel Chalobah,Unknown
Lee Grant,GK
Alexis Snchez,MID
Allan-Romo Nyom,Unknown
Simon Francis,Unknown
Nathan Holland,Unknown
Darren Randolph,GK
Emerson Hyndman,Unknown
Carl Stewart,Unknown
Maya Yoshida,Unknown
Tokelo Rantie,Unknown
Jose Angel Esmoris Tasende,Unknown
Theo Walcott,MID
Ramadan Sobhi,Unknown
Joel Robles,Unknown
Oumar Niasse,Unknown
Bruno Martins Indi,Unknown
Sam Vokes,Unknown
Leroy San,MID
Bartosz Kapustka,Unknown
Alexander Manninger,Unknown
Claudio Yacob,Unknown
Joel Asoro,Unknown
Michael Kightly,Unknown
Matt Phillips,MID
Aleix Garca Serrano,Unknown
Daniel Drinkwater,MID
Axel Tuanzebe,DEF
Christian Fuchs,DEF
James Husband,Unknown
Cristian Gamboa,Unknown
Nemanja Matic,MID
Costel Pantilimon,Unknown
Martin Kelly,DEF
Marvin Emnes,Unknown
Harry Kane,FWD
Dean Marney,Unknown
Juan Mata,MID
Michael Simes Domingues,Unknown
Baily Cargill,Unknown
Adam Reach,Unknown
Jonathan Walters,Unknown
Tom Carroll,Unknown
Samir Nasri,MID
Angel Gomes,MID
Gerard Deulofeu,MID
Benjamin Chilwell,DEF
Charlie Austin,FWD
Joseph Gomez,DEF
Christian Kabasele,Unknown
Ola Aina,Unknown
Baftimbi Gomis,Unknown
Oluwaseyi Ojo,Unknown
Guillermo Varela,Unknown
Jarrod Bowen,MID
Mousa Dembl,Unknown
Ruben Loftus-Cheek,MID
Antonio Valencia,DEF
Darren Fletcher,DEF
Sebastian Prdl,Unknown
Donald Love,Unknown
Lynden Gooch,Unknown
Mamadou Sakho,DEF
Steven Defour,Unknown
Wahbi Khazri,Unknown
Albert Adomah,Unknown
Jason Denayer,Unknown
Ethan Robson,Unknown
Michael Keane,DEF
Mason Holgate,DEF
Elliott Moore,Unknown
Jan Vertonghen,DEF
Jrmy Pied,Unknown
Molla Wagu,Unknown
Bradley Smith,Unknown
Chris Long,Unknown
Manuel Agudo Durn,Unknown
James Weir,Unknown
Steven Pienaar,Unknown
Yohan Benalouane,Unknown
Matt Miazga,Unknown
Elliot Embleton,Unknown
Juan Cuadrado,MID
Ben Foster,GK
James Tarkowski,Unknown
Islam Slimani,Unknown
Daniel Ayala,Unknown
Adama Traor,Unknown
Ashley Williams,Unknown
Greg Luer,Unknown
Julien de Sart,Unknown
Mouez Hassen,Unknown
Shaun MacDonald,Unknown
Geoff Cameron,Unknown
Adam Federici,Unknown
Alex Palmer,Unknown
Lukas Jutkiewicz,Unknown
Carlos De Pena,Unknown
Angelo Ogbonna,DEF
Allan McGregor,Unknown
Artur Boruc,Unknown
Lucas Prez,Unknown
Memphis Depay,MID
Sbastien Pocognoli,Unknown
Thibaud Verlinden,Unknown
Raphael Spiegel,Unknown
Michael Phillips,Unknown
Wilfred Ndidi,MID
Wes Morgan,DEF
Marc Pugh,Unknown
Bojan Krkic,Unknown
Markus Henriksen,Unknown
lvaro Arbeloa,Unknown
Virgil van Dijk,DEF
Kevin Wimmer,Unknown
David Luiz Moreira Marinho,DEF
Yohan Cabaye,Unknown
Daniel Lafferty,Unknown
Cameron Carter-Vickers,DEF
Olayinka Fredrick Oladotun Ladapo,Unknown
Matt Targett,DEF
Jonathan Benteke,Unknown
Nathaniel Clyne,DEF
Victor Anichebe,Unknown
Patrick Bamford,FWD
Reece Oxford,Unknown
Winston Reid,Unknown
Gerhard Tremmel,Unknown
Connor Roberts,Unknown
Alex Pike,Unknown
Muhamed Besic,Unknown
Franck Tabanou,Unknown
Adama Diomande,Unknown
Ainsley Maitland-Niles,DEF
Jack Rodwell,Unknown
Jesse Lingard,MID
Jay Rodriguez,Unknown
Ryan Mason,MID
Charlie Daniels,Unknown
Jack Wilshere,MID
Josh Maja,Unknown
Bryan Oviedo,Unknown
Stewart Downing,Unknown
Scott McTominay,MID
Josh Robson,Unknown
Jamie Vardy,FWD
Fabian Delph,MID
Ben Mee,Unknown
Hal Robson-Kanu,FWD
Hugo Lloris,GK
Gary Cahill,DEF
Leon Britton,Unknown
Calum Chambers,DEF
James Wilson,FWD
Daniel Kemp,Unknown
Chris Smalling,Unknown
Demarai Gray,MID
Sam Clucas,Unknown
Francis Coquelin,Unknown
Daniel Sturridge,FWD
Cheikhou Kouyat,Unknown
Jermain Defoe,Unknown
Luke Shaw,DEF
Kevin De Bruyne,MID
Shaun Maloney,Unknown
Leroy Fer,Unknown
Manolo Gabbiadini,FWD
Connor Wickham,FWD
Loris Karius,Unknown
Sam Surridge,Unknown
Vito Mannone,Unknown
Jess Navas,MID
Gkhan Inler,Unknown
Benik Afobe,Unknown
Loc Remy,Unknown
Yannick Bolasie,Unknown
Oleksandr Zinchenko,DEF
Angel Rangel,Unknown
Martn Cceres,Unknown
Dael Fry,Unknown
Wayne Routledge,Unknown
Odion Ighalo,FWD
