player,position
Nathaniel Mendez-Laing,Unknown
Stephan Lichtsteiner,Unknown
Zech Medley,Unknown
Demeaco Duhaney,Unknown
Alex Smithies,Unknown
Filip Benkovic,DEF
Bernard Ancio Caldeira Duarte,Unknown
Rui Pedro da Rocha Fonte,Unknown
Sam Gallagher,Unknown
Erik Durm,Unknown
Denis Odoi,DEF
Lewis Cass,Unknown
Sol Bamba,Unknown
Karlan Grant,Unknown
Zeze Steven Sessegnon,DEF
Tahith Chong,MID
Ricardo Domingos Barbosa Pereira,DEF
Viktor Gyokeres,Unknown
Hlder Costa,Unknown
James Garner,MID
Josh Benson,Unknown
Lee Peltier,Unknown
Danny Batth,Unknown
Max Meyer,MID
Jannik Vestergaard,DEF
Jason Steele,GK
Rui Pedro dos Santos Patrcio,Unknown
Brian Murphy,Unknown
Jean Michael Seri,Unknown
Diego Rico,Unknown
Bruno Ecuele Manga,Unknown
Ryan Bennett,DEF
Josh Murphy,Unknown
Fabin Balbuena,Unknown
Diogo Jota,MID
Yan Valery,DEF
Andr Filipe Tavares Gomes,Unknown
Adam Masina,Unknown
Ryan John Giles,Unknown
David De Gea,Unknown
Joe Bryan,DEF
Gonzalo Higuan,FWD
Matt Doherty,DEF
Alfie Jones,Unknown
Callum Slattery,Unknown
Alexandre Nascimento Costa Silva,Unknown
Alireza Jahanbakhsh,MID
Ryan Sessegnon,DEF
Kepa Arrizabalaga,GK
Martn Montoya,Unknown
Callum Paterson,Unknown
David Junior Hoilett,Unknown
Emiliano Martnez,GK
Isaac Mbenza,Unknown
Rachid Ghezzal,Unknown
Rben Gonalo Silva Nascimento Vinagre,Unknown
Joo Filipe Iria Santos Moutinho,Unknown
Ryan Babel,Unknown
Max Kilman,DEF
Abd-Al-Ali Morakinyo Olaposi Koiki,Unknown
Fabio Henrique Tavares,MID
Vctor Camarasa,Unknown
Sergio Rico,Unknown
Marc Navarro,Unknown
Adalberto Pearanda,Unknown
Yoshinori Muto,FWD
Marcus Bettinelli,GK
Ibrahima Ciss,Unknown
Rhys Healey,Unknown
Fabricio Agosto Ramrez,Unknown
Jorge Luiz Frello Filho,MID
Ken Sema,Unknown
Ryan Fredericks,DEF
Denis Surez,Unknown
Isaac Success Ajayi,Unknown
Leandro Bacuna,Unknown
Kelland Watts,DEF
Greg Halford,Unknown
Maxime Le Marchand,DEF
Andriy Yarmolenko,MID
Willy Boly,DEF
Will Norris,Unknown
Barry Douglas,DEF
Nnamdi Ofoborh,Unknown
Bruno Miguel Borges Fernandes,MID
Djibril Sidib,Unknown
Japhet Tanganga,DEF
Tanguy Ndombele,MID
Lukas Jensen,Unknown
Ki-Jana Hoever,Unknown
John McGinn,Unknown
Daniel Adshead,Unknown
Rhu-endly Martina,Unknown
Darnell Johnson,Unknown
Dimitri Foulquier,Unknown
Luke Freeman,MID
Teemu Pukki,FWD
Mason Mount,MID
Bailey Peacock-Farrell,Unknown
Leon Clarke,Unknown
Daniel N'Lundulu,Unknown
Liam Gibson,Unknown
Rodrigo Hernandez,Unknown
Brandon Williams,DEF
Taylor Harwood-Bellis,Unknown
Steven Alzate,MID
Bruno Andr Cavaco Jordao,Unknown
Anthony Gordon,MID
Jake Vokins,DEF
Moritz Leitner,Unknown
Josh Brownhill,Unknown
Lukas Rupp,Unknown
Dennis Srbeny,Unknown
Billy Gilmour,MID
Neal Maupay,FWD
Tommy Doyle,Unknown
Bobby Thomas,Unknown
Patrick Cutrone,Unknown
Henri Lansbury,Unknown
Heurelho da Silva Gomes,Unknown
Josip Drmic,Unknown
Roberto Jimenez Gago,GK
Scott Carson,Unknown
Joo Pedro Junqueira de Jesus,Unknown
Ignacio Pussetto,Unknown
Jess Vallejo Lzaro,Unknown
Troy Parrott,Unknown
Ondrej Duda,Unknown
Nathaniel Phillips,Unknown
Andy Lonergan,Unknown
Ibrahim Amadou,Unknown
rjan Nyland,Unknown
Tariq Lamptey,DEF
Jordan Thomas,Unknown
Patrick Roberts,Unknown
Bjorn Engels,Unknown
John Lundstram,MID
Sbastien Haller,FWD
Gedson Carvalho Fernandes,MID
Alexis Mac Allister,MID
Jack Stacey,Unknown
Jamal Lewis,DEF
Daniel Ceballos Fernndez,Unknown
Michael Verrips,Unknown
Joo Manuel Neves Virgnia,Unknown
Alexander Tettey,Unknown
Caoimhin Kelleher,Unknown
Jonathan Kodjia,Unknown
Joo Pedro Cavaco Cancelo,Unknown
Kieran Tierney,DEF
Ellis Simms,Unknown
Max Thompson,Unknown
Jack Grealish,MID
Josh Martin,Unknown
Emiliano Buenda,MID
John-Kymani Gordon,Unknown
Onel Hernndez,Unknown
Reece James,DEF
Ben Godfrey,Unknown
Jimmy Dunne,Unknown
Matthew Clarke,DEF
Ahmed El Mohamady,Unknown
Joseph Anang,Unknown
Tudor Baluta,Unknown
Douglas Luiz Soares de Paulo,Unknown
Pablo Fornals,MID
Richard Stearman,Unknown
Matthew Longstaff,MID
Matthew Smith,Unknown
Richairo Zivkovic,Unknown
Akin Famewo,Unknown
John Egan,DEF
George Baldock,DEF
Jack Young,Unknown
Bernard Ashley-Seal,Unknown
Keinan Davis,Unknown
Joel Mumbongo,Unknown
Luke Thomas,DEF
James Justin,DEF
Che Adams,FWD
Lovre Kalinic,Unknown
Allan Saint-Maximin,MID
Billy Sharp,FWD
Ben Osborn,MID
Alfie Lewis,Unknown
Jeremy Ngakia,Unknown
Cole Palmer,Unknown
Philip Heise,Unknown
Jack O'Connell,DEF
Frdric Guilbert,Unknown
John Fleck,MID
Bernardo Costa Da Rosa,Unknown
Tyreece John-Jules,Unknown
Jos Reina,Unknown
Indiana Vassilev,Unknown
Pablo Mar,Unknown
Conor Hourihane,Unknown
Kenny McLean,Unknown
Brandon Pierrick,MID
Maximillian Aarons,Unknown
Brandon Austin,Unknown
Simon Moore,GK
Oskar Buur,DEF
Alexandre Jankewitz,Unknown
Nicolas Pp,Unknown
Jake Eastwood,Unknown
Albian Ajeti,FWD
Tomas Soucek,MID
Ravel Morrison,Unknown
Valentino Lazaro,Unknown
Daniel Castelo Podence,MID
Mario Vrancic,Unknown
Timm Klose,Unknown
Mahmoud Ahmed Ibrahim Hassan,Unknown
Emil Krafth,DEF
Takumi Minamino,MID
Ismala Sarr,MID
David McGoldrick,FWD
Ezri Konsa Ngoyo,Unknown
Jed Steer,Unknown
Giovani Lo Celso,MID
Callum Robinson,FWD
Sander Berge,MID
Aaron Connolly,FWD
Dean Henderson,GK
Adam Webster,DEF
Mihai-Alexandru Dobre,Unknown
Jarrad Branthwaite,DEF
Tyrick Mitchell,DEF
Steven Bergwijn,MID
Chris Basham,DEF
Marvelous Nakamba,Unknown
Harvey White,Unknown
Alex Cochrane,Unknown
Gabriel Teodoro Martinelli Silva,MID
David Martin,GK
Tom Trybull,Unknown
Taylor Perry,Unknown
Wesley Moraes,Unknown
Lewis Bate,Unknown
Birkir Bjarnason,Unknown
William Smallbone,MID
Kieron Freeman,Unknown
Owen Otasowie,Unknown
Arnaut Danjuma Groeneveld,Unknown
Faustino Anjorin,Unknown
George Hirst,Unknown
Stephen Henderson,Unknown
Borja Gonzlez Toms,Unknown
Panagiotis Retsos,Unknown
Will Ferry,Unknown
Nathan Tella,MID
Luke Cundle,Unknown
Mace Goodridge,Unknown
Leandro Trossard,MID
Kaine Hayden,Unknown
Pedro Lomba Neto,MID
Christian Saydee,Unknown
Jetro Willems,Unknown
Ayotomiwa Dele-Bashiru,Unknown
Jacob Maddox,Unknown
Anwar El Ghazi,MID
Christian Pulisic,MID
Jean-Philippe Gbamin,MID
Armando Broja,Unknown
Emile Smith Rowe,MID
Muhamed Bei,Unknown
Ralf Fahrmann,Unknown
Jack Robinson,DEF
Leonardo Campana,FWD
Giovanni McGregor,Unknown
Lewis Gibson,Unknown
Ryan Giles,Unknown
Moussa Djenepo,MID
Mark Duffy,Unknown
Marco Stiepermann,Unknown
Todd Cantwell,MID
Thomas Allan,Unknown
Christoph Zimmermann,Unknown
Lloyd Kelly,Unknown
Archie Mair,Unknown
Mbwana Samatta,Unknown
Dennis Praet,MID
Andre Green,Unknown
Jos ngel Esmors Tasende,Unknown
Dennis Cirkin,Unknown
Gavin Kilkenny,Unknown
Eric Garcia,DEF
Enda Stevens,DEF
Moise Kean,FWD
Gonalo Bento Soares Cardoso,Unknown
Joelinton Cssio Apolinrio de Lira,Unknown
Michael McGovern,Unknown
Neco Williams,DEF
Jos Ignacio Peleteiro Romallo,Unknown
Kevin Danso,Unknown
Adam Idah,Unknown
Anthony Mancini,Unknown
Allan Tchaptchet,Unknown
Liam Cooper,DEF
Sergio Reguiln,DEF
Fernando Maral,Unknown
Vontae Daley-Campbell,Unknown
Matheus Pereira,MID
Michael Hector,DEF
Ademipo Odubeko,Unknown
Cody Drameh,Unknown
Elia Caprile,Unknown
Aleksandar Mitrovi,FWD
Vitor Ferreira,MID
Nathan Bishop,Unknown
Jake Cain,Unknown
Rodrigo Moreno,FWD
Shane Flynn,Unknown
Mohamed Naser El Sayed Elneny,MID
Robert Snchez,Unknown
Charlie Cresswell,Unknown
Bobby Decordova-Reid,FWD
Daniel Langley,Unknown
Carlos Vinicius Alves Morais,Unknown
Timothy Castagne,DEF
Anthony Elanga,FWD
Christian Marques,Unknown
Taylor Gardner-Hickman,Unknown
Oliver Casey,DEF
Diego Llorente,Unknown
Martin degaard,MID
Josh Onomah,MID
Elliot Anderson,Unknown
Pascal Struijk,DEF
Hakim Ziyech,MID
Harry Tyrer,Unknown
Tyler Onyango,Unknown
Isaac Price,Unknown
Niels Nkounkou,Unknown
Cedric Kipre,DEF
Tawanda Maswanhise,Unknown
Kalvin Phillips,MID
Kamil Miazek,GK
James Trafford,Unknown
Thanawat Suengchitthawon,Unknown
Tyler Roberts,MID
Jos Izquierdo,Unknown
Dara O'Shea,DEF
Theo Corbeanu,Unknown
Liam Hughes,Unknown
Joachim Andersen,Unknown
Luke Ayling,DEF
William Osula,Unknown
Konstantinos Tsimikas,DEF
Crysencio Summerville,Unknown
James Rodrguez,MID
Jordan Stevens,MID
Donny van de Beek,MID
Teden Mengi,DEF
Daniel Jebbison,Unknown
Matthew Cash,Unknown
Teddy Jenks,Unknown
Alex Nicolao Telles,Unknown
Hugo Bueno,Unknown
Jean-Philippe Mateta,Unknown
Sad Benrahma,Unknown
William Fish,Unknown
Amad Diallo,MID
Cengiz nder,Unknown
Jol Veltman,Unknown
Tosin Adarabioyo,Unknown
Mateusz Bogusz,Unknown
Darnell Furlong,DEF
Jack Harrison,MID
Oluwasemilogo Adesewo Ibidapo Ajayi,DEF
Leif Davis,DEF
Sam Johnstone,GK
Claudio Gomes,Unknown
Fabio Carvalho,Unknown
Bertrand Traor,Unknown
Wesley Fofana,Unknown
Edouard Mendy,GK
Adrien Silva,MID
Nlson Cabral Semedo,Unknown
Leighton Clarkson,Unknown
Joe Gelhardt,Unknown
Thomas McGill,Unknown
Josh Sims,MID
Kyle John,Unknown
Willian Jos Da Silva,Unknown
Jensen Weir,Unknown
Nigel Lonwijk,Unknown
Dane Scarlett,Unknown
Ozan Kabak,DEF
Gareth Bale,MID
Kyron Gordon,Unknown
Hannibal Mejbri,MID
Zak Brunt,Unknown
Edinson Cavani,FWD
Filip Krovinovic,Unknown
Gaetano Berardi,Unknown
Femi Seriki,Unknown
Adrin Bernab,Unknown
Carney Chukwuemeka,Unknown
Ahmed El-Sayed Hegazy,DEF
Niall Huggins,Unknown
Jesurun Rak-Sakyi,Unknown
Jaden Philogene-Bidace,Unknown
Caleb Taylor,Unknown
Sam Greenwood,Unknown
Ryan Astley,Unknown
Reece Hannam,Unknown
Lewis Richardson,Unknown
Ezgjan Alioski,DEF
Luke Mbete,Unknown
Kai Havertz,MID
Romaine Sawyers,MID
Zack Steffen,Unknown
Karlo Ziger,Unknown
Shola Shoretire,Unknown
William Saliba,DEF
Wes Foderingham,GK
Christian Walton,GK
Ryan Finnigan,Unknown
Thomas Partey,MID
Okay Yokuslu,Unknown
Stuart Dallas,DEF
Kenny Tete,DEF
Gabriel Magalhes,Unknown
Jamie Shackleton,MID
Joo Virgnia,Unknown
Robin Koch,DEF
Jamal Baptiste,Unknown
Antwoine Hackford,Unknown
Kgaogelo Chauke,Unknown
Max Lowe,DEF
Mark Gillespie,GK
Jack Jenkins,Unknown
Jay-Roy Grot,MID
Hlder Wander Sousa de Azevedo e Costa,Unknown
Iliman Ndiaye,Unknown
Thiago Alcntara do Nascimento,MID
Ibrahima Diallo,Unknown
Raphael Dias Belloli,Unknown
Meritan Shabani,Unknown
Rben Santos Gato Alves Dias,Unknown
Pablo Hernndez Domnguez,Unknown
Antonee Robinson,DEF
Frankie Maguire,Unknown
Mateusz Klich,MID
Miguel Azeez,Unknown
Fabio Silva,FWD
Reece Welch,Unknown
Jayden Bogle,DEF
Percy Tau,Unknown
Conor Gallagher,Unknown
Alphonse Areola,GK
Robin Olsen,Unknown
Toby King,Unknown
Sylvester Jasper,Unknown
Billy Koumetio,Unknown
Andreas Sndergaard,Unknown
Ian Carlo Poveda-Ocampo,MID
Timo Werner,FWD
Ryan Inniss,Unknown
Jean Michal Seri,Unknown
Morgan Sanson,Unknown
Allan Marques Loureiro,MID
Cheikh Diaby,Unknown
Illan Meslier,GK
Caleb Watts,Unknown
Lo Bonatini,Unknown
Rnar Alex Rnarsson,Unknown
Kyle Edwards,MID
Mbaye Diagne,Unknown
Thakgalo Leshabela,Unknown
Eberechi Eze,MID
Nile John,Unknown
Conor Townsend,DEF
Ivan Ricardo Neves Abreu Cavaleiro,MID
Francisco Casilla Corts,Unknown
Valentino Livramento,Unknown
Reda Khadra,Unknown
Sidnei Tavares,Unknown
Facundo Pellistri,MID
Michal Karbownik,Unknown
Tyrese Francois,Unknown
Jacob Ramsey,Unknown
Rhys Williams,Unknown
Jakub Moder,Unknown
Richard Nartey,Unknown
Kean Bryan,Unknown
Ferran Torres,MID
Lewis Richards,Unknown
Ollie Watkins,FWD
Mohammed Salisu,DEF
Nathan Broadhead,Unknown
Vladimir Coufal,DEF
Rayan Ait Nouri,Unknown
Liam Delap,Unknown
Alfie Devine,Unknown
Frederik Alves,Unknown
Andi Zeqiri,Unknown
Matija Sarkic,GK
Jakub Ojrzynski,Unknown
Moiss Caicedo,Unknown
Thiago Thiago,DEF
Harry Boyes,Unknown
James Bree,Unknown
Felix Nmecha,Unknown
Marek Rodk,Unknown
Tim Iroegbunam,Unknown
