,value,total_points
532,45,0
533,45,0
534,45,0
535,45,0
536,45,0
537,45,0
538,45,0
539,45,0
540,45,0
541,45,0
542,45,0
543,45,0
544,45,0
545,45,0
546,45,0
547,45,0
548,45,0
549,45,0
550,45,0
551,45,0
552,45,0
553,45,0
554,45,0
555,45,0
556,45,0
557,45,0
558,45,0
559,45,0
560,45,0
561,45,0
562,44,0
563,44,0
564,44,0
565,44,0
566,44,0
567,44,0
568,43,0
569,43,0
570,43,1
571,43,0
572,43,0
573,43,0
574,43,0
575,43,1
576,43,0
577,43,0
578,43,0
579,43,0
580,43,0
581,43,0
582,43,0
583,43,0
584,43,0
585,43,0
586,43,0
587,43,0
588,43,1
589,43,0
590,43,0
591,43,0
592,43,0
593,43,0
594,43,0
595,43,0
596,43,0
597,40,0
598,40,0
599,40,0
600,40,0
601,40,0
602,40,0
603,40,0
604,40,0
605,40,0
606,40,0
607,40,0
608,40,0
609,40,0
610,40,0
611,40,0
612,40,0
613,40,0
614,40,0
615,40,0
616,45,2
617,45,1
618,45,1
619,45,1
620,45,2
621,45,1
622,45,2
623,45,0
624,45,0
625,45,0
626,45,0
627,44,1
628,44,1
629,44,0
630,44,0
631,43,0
632,43,0
633,43,1
634,43,0
635,43,0
636,43,5
637,43,0
638,43,0
639,43,1
640,43,0
641,43,0
642,43,0
643,43,0
644,43,0
645,43,1
646,43,2
647,43,2
648,43,6
649,43,1
650,43,1
651,43,6
652,50,0
653,50,0
654,49,0
655,49,0
656,49,0
657,48,0
658,48,0
659,48,0
660,48,0
661,48,0
662,48,1
663,48,1
664,48,0
665,48,0
666,48,0
667,48,0
668,47,0
669,47,0
670,47,10
671,47,0
672,47,0
673,47,0
674,47,0
675,47,0
676,47,0
677,47,0
678,47,0
679,47,1
680,47,6
681,47,1
682,47,11
683,47,0
684,47,1
685,47,9
686,47,0
687,47,2
688,47,0
689,47,8
690,55,0
691,55,0
692,54,0
693,54,0
694,54,0
695,54,0
696,54,0
697,54,0
698,54,0
699,54,0
700,54,0
701,54,0
702,54,0
703,54,0
704,54,0
705,54,0
706,54,0
707,54,0
708,54,0
709,54,0
710,54,0
711,54,0
712,54,0
713,54,0
714,54,0
715,54,0
716,54,0
717,54,0
718,54,0
719,54,0
720,54,0
721,54,0
722,54,0
723,54,0
724,54,0
725,54,0
726,54,0
727,54,0
728,40,0
729,40,0
730,40,0
731,40,0
732,40,0
733,40,0
734,40,0
735,40,0
736,40,0
737,40,0
738,40,0
739,40,0
740,40,0
741,40,0
742,40,0
743,40,0
